51.774,114.242 90.346,257.099
183.203,-85.759 248.917,115.670
-159.654,7.813 -176.797,-71.473
201.060,52.813 98.203,85.670
-198.940,-82.187 -106.797,-67.901
-185.368,24.241 -130.369,17.813
-158.940,82.813 -60.369,201.384
-149.654,-100.759 -165.369,-221.473
38.917,-197.187 151.060,-9.330
-55.369,-215.759 -8.226,-160.044
48.203,-128.616 61.774,-95.044
109.632,-34.330 97.489,-69.330
136.774,27.813 135.346,-22.901
38.917,125.670 42.489,102.099
-29.654,147.813 -68.226,174.956
-106.797,111.384 -74.654,142.813
-132.511,82.099 -127.511,72.099
-194.654,59.956 -232.511,19.241
-216.797,-20.044 -225.368,-86.473
-190.368,-107.187 -143.940,-92.187
-216.797,-110.759 -196.797,-169.330
-167.511,-149.330 -216.797,-228.616
-121.797,-241.473 -82.511,-160.044
-71.083,-180.759 -77.511,-257.187
-23.940,-233.616 16.060,-165.044
-65.369,-157.901 -6.797,-123.616
17.489,-118.616 37.489,-190.759
158.203,-97.187 161.774,-47.187
94.632,-160.759 128.917,-107.901
34.632,-240.044 148.917,-217.187
208.917,-169.330 147.489,-109.330
-176.083,199.241 -244.654,115.670
-240.368,64.956 -159.654,124.242
-186.797,32.813 -126.083,199.956
-212.511,124.242 -176.083,159.956
-109.654,195.670 -46.797,223.527
-203.940,224.956 -163.226,210.670
-237.511,188.527 -256.083,159.241
-111.797,234.241 -23.940,243.527
-134.654,225.670 -148.940,192.099
-39.654,183.527 1.060,233.527
36.774,159.241 61.774,211.384
106.774,176.384 78.917,139.956
96.060,211.384 146.774,177.099
138.203,129.956 110.346,101.384
211.060,76.384 171.774,139.242
139.632,152.813 227.489,163.527
145.346,218.527 176.060,186.384
213.917,238.527 122.489,236.384
221.060,210.670 189.632,182.099
256.060,185.670 226.774,128.527
231.774,-20.044 214.631,-73.616
243.917,-132.187 166.060,-94.330
191.060,-207.187 130.346,-164.330
95.346,-202.187 68.203,-202.187
-121.083,-92.901 -91.797,-75.044
-126.797,-53.616 -90.369,-57.187
42.489,-150.759 33.203,-112.901
74.632,-102.901 61.060,-131.473
166.060,24.956 157.489,-4.330
188.917,19.956 133.917,-62.187
118.917,-100.759 141.060,-91.473
81.774,-168.616 143.917,-183.616
43.203,-210.759 133.917,-215.759
13.917,-219.330 -1.083,-247.901
