51.774,114.242 90.346,257.099
211.181,0.000 248.917,115.670
183.203,-85.759 211.181,0.000
-159.654,7.813 -176.797,-71.473
201.060,52.813 98.203,85.670
-198.940,-82.187 -106.797,-67.901
-130.369,17.813 -185.368,24.241
-60.369,201.384 -158.940,82.813
-149.654,-100.759 -165.369,-221.473
38.917,-197.187 151.060,-9.330
-55.369,-215.759 -8.226,-160.044
48.203,-128.616 61.774,-95.044
97.489,-69.330 109.632,-34.330
135.991,0.000 136.774,27.813
135.346,-22.901 135.991,0.000
42.489,102.099 38.917,125.670
-29.654,147.813 -68.226,174.956
-132.511,82.099 -127.511,72.099
-194.654,59.956 -232.511,19.241
-216.797,-20.044 -225.368,-86.473
-190.368,-107.187 -143.940,-92.187
-216.797,-110.759 -196.797,-169.330
-167.511,-149.330 -216.797,-228.616
-82.511,-160.044 -121.797,-241.473
-71.083,-180.759 -77.511,-257.187
-23.940,-233.616 16.060,-165.044
-65.369,-157.901 -6.797,-123.616
17.489,-118.616 37.489,-190.759
158.203,-97.187 161.774,-47.187
94.632,-160.759 128.917,-107.901
34.632,-240.044 148.917,-217.187
208.917,-169.330 147.489,-109.330
-176.083,199.241 -244.654,115.670
-159.654,124.242 -240.368,64.956
-176.083,159.956 -212.511,124.242
-46.797,223.527 -109.654,195.670
-163.226,210.670 -203.940,224.956
-237.511,188.527 -256.083,159.241
-23.940,243.527 -111.797,234.241
-134.654,225.670 -148.940,192.099
1.060,233.527 -39.654,183.527
61.774,211.384 36.774,159.241
106.774,176.384 78.917,139.956
146.774,177.099 96.060,211.384
110.346,101.384 138.203,129.956
211.060,76.384 171.774,139.242
227.489,163.527 139.632,152.813
176.060,186.384 145.346,218.527
221.060,210.670 189.632,182.099
226.774,128.527 256.060,185.670
214.631,-73.616 231.774,-20.044
166.060,-94.330 243.917,-132.187
130.346,-164.330 191.060,-207.187
68.203,-202.187 95.346,-202.187
-121.083,-92.901 -91.797,-75.044
-126.797,-53.616 -90.369,-57.187
42.489,-150.759 33.203,-112.901
61.060,-131.473 74.632,-102.901
158.756,0.000 166.060,24.956
175.555,0.000 188.917,19.956
133.917,-62.187 175.555,0.000
118.917,-100.759 141.060,-91.473
81.774,-168.616 143.917,-183.616
43.203,-210.759 133.917,-215.759
