51.774,114.242 90.346,257.099
211.181,0.000 248.917,115.670
183.203,-85.759 211.181,0.000
-159.654,7.813 -176.797,-71.473
201.060,52.813 98.203,85.670
-198.940,-82.187 -106.797,-67.901
-130.369,17.813 -185.368,24.241
-60.369,201.384 -158.940,82.813
-149.654,-100.759 -165.369,-221.473
38.917,-197.187 151.060,-9.330
-55.369,-215.759 -8.226,-160.044
-216.797,-110.759 -196.797,-169.330
-176.083,199.241 -244.654,115.670
146.774,177.099 96.060,211.384
110.346,101.384 138.203,129.956
227.489,163.527 139.632,152.813
